Country Name,Country Code,Indicator Name,Indicator Code,Year,Value,Region,Income Group
Argentina,ARG,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,2000,20.29188,Latin America & Caribbean,Upper middle income
Argentina,ARG,Rural population (% of total population),SP.RUR.TOTL.ZS,2000,10.82397289,Latin America & Caribbean,Upper middle income
Argentina,ARG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2000,89.17602711,Latin America & Caribbean,Upper middle income
Argentina,ARG,Urban population growth (annual %),SP.URB.GROW,2000,1.347373829,Latin America & Caribbean,Upper middle income
Armenia,ARM,Population density (people per sq. km of land area),EN.POP.DNST,2000,113.1401475,Europe & Central Asia,Upper middle income
Armenia,ARM,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,2000,34.50066747,Europe & Central Asia,Upper middle income
Armenia,ARM,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,2000,12.79599,Europe & Central Asia,Upper middle income
Armenia,ARM,Rural population (% of total population),SP.RUR.TOTL.ZS,2000,35.04076208,Europe & Central Asia,Upper middle income
Armenia,ARM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2000,64.95923792,Europe & Central Asia,Upper middle income
Armenia,ARM,Urban population growth (annual %),SP.URB.GROW,2000,1.364116277,Europe & Central Asia,Upper middle income
Aruba,ABW,Population density (people per sq. km of land area),EN.POP.DNST,2000,503.2666667,Latin America & Caribbean,High income
Aruba,ABW,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,2000,,Latin America & Caribbean,High income
Aruba,ABW,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,2000,0,Latin America & Caribbean,High income
Aruba,ABW,Rural population (% of total population),SP.RUR.TOTL.ZS,2000,34.64545022,Latin America & Caribbean,High income
Aruba,ABW,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2000,65.35454978,Latin America & Caribbean,High income
Aruba,ABW,Urban population growth (annual %),SP.URB.GROW,2000,1.020339059,Latin America & Caribbean,High income
Australia,AUS,Population density (people per sq. km of land area),EN.POP.DNST,2000,2.476966794,East Asia & Pacific,High income
Australia,AUS,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,2000,59.28080496,East Asia & Pacific,High income
Australia,AUS,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,2000,0.165,East Asia & Pacific,High income
Australia,AUS,Rural population (% of total population),SP.RUR.TOTL.ZS,2000,14.89283914,East Asia & Pacific,High income
Australia,AUS,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2000,85.10716086,East Asia & Pacific,High income
Australia,AUS,Urban population growth (annual %),SP.URB.GROW,2000,1.124073786,East Asia & Pacific,High income
Austria,AUT,Population density (people per sq. km of land area),EN.POP.DNST,2000,97.08635482,Europe & Central Asia,High income
Austria,AUT,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,2000,19.33738048,Europe & Central Asia,High income
Austria,AUT,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,2000,4.5,Europe & Central Asia,High income
Austria,AUT,Rural population (% of total population),SP.RUR.TOTL.ZS,2000,33.2309761,Europe & Central Asia,High income
Austria,AUT,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2000,66.7690239,Europe & Central Asia,High income
Austria,AUT,Urban population growth (annual %),SP.URB.GROW,2000,0.406114445,Europe & Central Asia,High income
Azerbaijan,AZE,Population density (people per sq. km of land area),EN.POP.DNST,2000,97.43477998,Europe & Central Asia,Upper middle income
Azerbaijan,AZE,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,2000,22.43839922,Europe & Central Asia,Upper middle income
Azerbaijan,AZE,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,2000,50.94,Europe & Central Asia,Upper middle income
Azerbaijan,AZE,Rural population (% of total population),SP.RUR.TOTL.ZS,2000,48.86791611,Europe & Central Asia,Upper middle income
Azerbaijan,AZE,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2000,51.13208389,Europe & Central Asia,Upper middle income
Azerbaijan,AZE,Urban population growth (annual %),SP.URB.GROW,2000,1.083602085,Europe & Central Asia,Upper middle income
"Bahamas, The",BHS,Population density (people per sq. km of land area),EN.POP.DNST,2000,32.35114885,Latin America & Caribbean,High income
"Bahamas, The",BHS,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,2000,,Latin America & Caribbean,High income
"Bahamas, The",BHS,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,2000,,Latin America & Caribbean,High income
"Bahamas, The",BHS,Rural population (% of total population),SP.RUR.TOTL.ZS,2000,18.96388384,Latin America & Caribbean,High income
"Bahamas, The",BHS,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2000,81.03611616,Latin America & Caribbean,High income
"Bahamas, The",BHS,Urban population growth (annual %),SP.URB.GROW,2000,1.414173898,Latin America & Caribbean,High income
Bahrain,BHR,Population density (people per sq. km of land area),EN.POP.DNST,2000,898.0028169,Middle East & North Africa,High income
Bahrain,BHR,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,2000,,Middle East & North Africa,High income
Bahrain,BHR,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,2000,,Middle East & North Africa,High income
Bahrain,BHR,Rural population (% of total population),SP.RUR.TOTL.ZS,2000,12.16437904,Middle East & North Africa,High income
Bahrain,BHR,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2000,87.83562096,Middle East & North Africa,High income
Bahrain,BHR,Urban population growth (annual %),SP.URB.GROW,2000,2.584429762,Middle East & North Africa,High income
Bangladesh,BGD,Population density (people per sq. km of land area),EN.POP.DNST,2000,1033.604548,South Asia,Lower middle income
Bangladesh,BGD,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,2000,10.10330619,South Asia,Lower middle income
Bangladesh,BGD,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,2000,58.31077,South Asia,Lower middle income
Bangladesh,BGD,Rural population (% of total population),SP.RUR.TOTL.ZS,2000,76.6854885,South Asia,Lower middle income
Bangladesh,BGD,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2000,23.3145115,South Asia,Lower middle income
Bangladesh,BGD,Urban population growth (annual %),SP.URB.GROW,2000,3.372313492,South Asia,Lower middle income
Barbados,BRB,Population density (people per sq. km of land area),EN.POP.DNST,2000,609.4488372,Latin America & Caribbean,High income
Barbados,BRB,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,2000,,Latin America & Caribbean,High income
Barbados,BRB,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,2000,,Latin America & Caribbean,High income
Barbados,BRB,Rural population (% of total population),SP.RUR.TOTL.ZS,2000,37.46206022,Latin America & Caribbean,High income
Barbados,BRB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2000,62.53793978,Latin America & Caribbean,High income
Barbados,BRB,Urban population growth (annual %),SP.URB.GROW,2000,-0.424386054,Latin America & Caribbean,High income
Belarus,BLR,Population density (people per sq. km of land area),EN.POP.DNST,2000,49.19747791,Europe & Central Asia,Upper middle income
Belarus,BLR,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,2000,17.0385015,Europe & Central Asia,Upper middle income
Belarus,BLR,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,2000,,Europe & Central Asia,Upper middle income
Belarus,BLR,Rural population (% of total population),SP.RUR.TOTL.ZS,2000,30.08277046,Europe & Central Asia,Upper middle income
Belarus,BLR,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2000,69.91722954,Europe & Central Asia,Upper middle income
Belarus,BLR,Urban population growth (annual %),SP.URB.GROW,2000,0.155090481,Europe & Central Asia,Upper middle income
Belgium,BEL,Population density (people per sq. km of land area),EN.POP.DNST,2000,337.9570105,Europe & Central Asia,High income
Belgium,BEL,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,2000,26.61055969,Europe & Central Asia,High income
Belgium,BEL,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,2000,0,Europe & Central Asia,High income
Belgium,BEL,Rural population (% of total population),SP.RUR.TOTL.ZS,2000,17.98474796,Europe & Central Asia,High income
Belgium,BEL,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2000,82.01525204,Europe & Central Asia,High income
Belgium,BEL,Urban population growth (annual %),SP.URB.GROW,2000,0.64014665,Europe & Central Asia,High income
Belize,BLZ,Population density (people per sq. km of land area),EN.POP.DNST,2000,10.5567295,Latin America & Caribbean,Upper middle income
Belize,BLZ,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,2000,,Latin America & Caribbean,Upper middle income
Belize,BLZ,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,2000,15.8,Latin America & Caribbean,Upper middle income
Belize,BLZ,Rural population (% of total population),SP.RUR.TOTL.ZS,2000,52.31631525,Latin America & Caribbean,Upper middle income
Belize,BLZ,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2000,47.68368475,Latin America & Caribbean,Upper middle income
Belize,BLZ,Urban population growth (annual %),SP.URB.GROW,2000,3.286240156,Latin America & Caribbean,Upper middle income
Benin,BEN,Population density (people per sq. km of land area),EN.POP.DNST,2000,64.04415573,Sub-Saharan Africa,Lower middle income
Benin,BEN,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,2000,,Sub-Saharan Africa,Lower middle income
Benin,BEN,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,2000,71.86569,Sub-Saharan Africa,Lower middle income
Benin,BEN,Rural population (% of total population),SP.RUR.TOTL.ZS,2000,61.72404827,Sub-Saharan Africa,Lower middle income
Benin,BEN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2000,38.27595173,Sub-Saharan Africa,Lower middle income
Benin,BEN,Urban population growth (annual %),SP.URB.GROW,2000,3.887869094,Sub-Saharan Africa,Lower middle income
Bermuda,BMU,Population density (people per sq. km of land area),EN.POP.DNST,2000,1139.814815,North America,High income
Bermuda,BMU,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,2000,,North America,High income
Bermuda,BMU,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,2000,0.01336,North America,High income
Bermuda,BMU,Rural population (% of total population),SP.RUR.TOTL.ZS,2000,0,North America,High income
Bermuda,BMU,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2000,100,North America,High income
Bermuda,BMU,Urban population growth (annual %),SP.URB.GROW,2000,0.694526489,North America,High income
Bhutan,BTN,Population density (people per sq. km of land area),EN.POP.DNST,2000,14.99655779,South Asia,Lower middle income
Bhutan,BTN,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,2000,,South Asia,Lower middle income
Bhutan,BTN,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,2000,57.60128,South Asia,Lower middle income
Bhutan,BTN,Rural population (% of total population),SP.RUR.TOTL.ZS,2000,72.40847601,South Asia,Lower middle income
Bhutan,BTN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2000,27.59152399,South Asia,Lower middle income
Bhutan,BTN,Urban population growth (annual %),SP.URB.GROW,2000,4.995701747,South Asia,Lower middle income
Bolivia,BOL,Population density (people per sq. km of land area),EN.POP.DNST,2000,7.944545371,Latin America & Caribbean,Lower middle income
Bolivia,BOL,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,2000,37.17162236,Latin America & Caribbean,Lower middle income
Bolivia,BOL,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,2000,57.94489,Latin America & Caribbean,Lower middle income
Bolivia,BOL,Rural population (% of total population),SP.RUR.TOTL.ZS,2000,38.14127984,Latin America & Caribbean,Lower middle income
Bolivia,BOL,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2000,61.85872016,Latin America & Caribbean,Lower middle income
Bolivia,BOL,Urban population growth (annual %),SP.URB.GROW,2000,2.484879252,Latin America & Caribbean,Lower middle income
Bosnia and Herzegovina,BIH,Population density (people per sq. km of land area),EN.POP.DNST,2000,81.24552734,Europe & Central Asia,Upper middle income
Bosnia and Herzegovina,BIH,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,2000,,Europe & Central Asia,Upper middle income
Bosnia and Herzegovina,BIH,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,2000,5.1,Europe & Central Asia,Upper middle income
Bosnia and Herzegovina,BIH,Rural population (% of total population),SP.RUR.TOTL.ZS,2000,57.44601014,Europe & Central Asia,Upper middle income
Bosnia and Herzegovina,BIH,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2000,42.55398986,Europe & Central Asia,Upper middle income
Bosnia and Herzegovina,BIH,Urban population growth (annual %),SP.URB.GROW,2000,1.47253006,Europe & Central Asia,Upper middle income
