Country Name,Country Code,Indicator Name,Indicator Code,Year,Value,Region,Income Group
East Asia & Pacific (IDA & IBRD countries),TEA,Rural population (% of total population),SP.RUR.TOTL.ZS,2000,63.58878472,,
East Asia & Pacific (IDA & IBRD countries),TEA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2000,36.41121528,,
East Asia & Pacific (IDA & IBRD countries),TEA,Urban population growth (annual %),SP.URB.GROW,2000,4.916807466,,
Euro area,EMU,Population density (people per sq. km of land area),EN.POP.DNST,2000,117.7023663,,
Euro area,EMU,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,2000,18.34161812,,
Euro area,EMU,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,2000,0.298248709,,
Euro area,EMU,Rural population (% of total population),SP.RUR.TOTL.ZS,2000,26.5104804,,
Euro area,EMU,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2000,73.4895196,,
Euro area,EMU,Urban population growth (annual %),SP.URB.GROW,2000,0.591636223,,
Europe & Central Asia,ECS,Population density (people per sq. km of land area),EN.POP.DNST,2000,31.65819586,,
Europe & Central Asia,ECS,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,2000,18.06189093,,
Europe & Central Asia,ECS,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,2000,4.967830346,,
Europe & Central Asia,ECS,Rural population (% of total population),SP.RUR.TOTL.ZS,2000,31.34302667,,
Europe & Central Asia,ECS,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2000,68.65697333,,
Europe & Central Asia,ECS,Urban population growth (annual %),SP.URB.GROW,2000,0.44128071,,
Europe & Central Asia (excluding high income),ECA,Population density (people per sq. km of land area),EN.POP.DNST,2000,37.62691001,,
Europe & Central Asia (excluding high income),ECA,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,2000,18.29641685,,
Europe & Central Asia (excluding high income),ECA,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,2000,18.60457342,,
Europe & Central Asia (excluding high income),ECA,Rural population (% of total population),SP.RUR.TOTL.ZS,2000,43.26624958,,
Europe & Central Asia (excluding high income),ECA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2000,56.73375042,,
Europe & Central Asia (excluding high income),ECA,Urban population growth (annual %),SP.URB.GROW,2000,1.015664851,,
Europe & Central Asia (IDA & IBRD countries),TEC,Population density (people per sq. km of land area),EN.POP.DNST,2000,19.15304493,,
Europe & Central Asia (IDA & IBRD countries),TEC,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,2000,16.94815182,,
Europe & Central Asia (IDA & IBRD countries),TEC,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,2000,9.701375302,,
Europe & Central Asia (IDA & IBRD countries),TEC,Rural population (% of total population),SP.RUR.TOTL.ZS,2000,37.33150498,,
Europe & Central Asia (IDA & IBRD countries),TEC,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2000,62.66849502,,
Europe & Central Asia (IDA & IBRD countries),TEC,Urban population growth (annual %),SP.URB.GROW,2000,0.276097826,,
European Union,EUU,Population density (people per sq. km of land area),EN.POP.DNST,2000,107.6698008,,
European Union,EUU,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,2000,16.22720162,,
European Union,EUU,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,2000,0.788479173,,
European Union,EUU,Rural population (% of total population),SP.RUR.TOTL.ZS,2000,28.48002635,,
European Union,EUU,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2000,71.51997365,,
European Union,EUU,Urban population growth (annual %),SP.URB.GROW,2000,0.381248401,,
Heavily indebted poor countries (HIPC),HPC,Population density (people per sq. km of land area),EN.POP.DNST,2000,27.71610279,,
Heavily indebted poor countries (HIPC),HPC,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,2000,11.81676706,,
Heavily indebted poor countries (HIPC),HPC,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,2000,69.10449157,,
Heavily indebted poor countries (HIPC),HPC,Rural population (% of total population),SP.RUR.TOTL.ZS,2000,71.74663127,,
Heavily indebted poor countries (HIPC),HPC,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2000,28.25336873,,
Heavily indebted poor countries (HIPC),HPC,Urban population growth (annual %),SP.URB.GROW,2000,3.888757018,,
High income,HIC,Population density (people per sq. km of land area),EN.POP.DNST,2000,24.15757425,,
High income,HIC,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,2000,,,
High income,HIC,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,2000,1.474654707,,
High income,HIC,Rural population (% of total population),SP.RUR.TOTL.ZS,2000,23.87564129,,
High income,HIC,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2000,76.12435871,,
High income,HIC,Urban population growth (annual %),SP.URB.GROW,2000,0.801117498,,
IBRD only,IBD,Population density (people per sq. km of land area),EN.POP.DNST,2000,56.3605167,,
IBRD only,IBD,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,2000,18.10128112,,
IBRD only,IBD,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,2000,,,
IBRD only,IBD,Rural population (% of total population),SP.RUR.TOTL.ZS,2000,56.33329761,,
IBRD only,IBD,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2000,43.66670239,,
IBRD only,IBD,Urban population growth (annual %),SP.URB.GROW,2000,3.018856248,,
IDA & IBRD total,IBT,Population density (people per sq. km of land area),EN.POP.DNST,2000,54.82858544,,
IDA & IBRD total,IBT,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,2000,16.81404303,,
IDA & IBRD total,IBT,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,2000,,,
IDA & IBRD total,IBT,Rural population (% of total population),SP.RUR.TOTL.ZS,2000,59.38208591,,
IDA & IBRD total,IBT,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2000,40.61791409,,
IDA & IBRD total,IBT,Urban population growth (annual %),SP.URB.GROW,2000,3.143755811,,
IDA blend,IDB,Population density (people per sq. km of land area),EN.POP.DNST,2000,80.46009391,,
IDA blend,IDB,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,2000,,,
IDA blend,IDB,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,2000,66.47770945,,
IDA blend,IDB,Rural population (% of total population),SP.RUR.TOTL.ZS,2000,62.89739839,,
IDA blend,IDB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2000,37.10260161,,
IDA blend,IDB,Urban population growth (annual %),SP.URB.GROW,2000,3.879414541,,
IDA only,IDX,Population density (people per sq. km of land area),EN.POP.DNST,2000,41.64892217,,
IDA only,IDX,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,2000,10.45942975,,
IDA only,IDX,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,2000,61.79258363,,
IDA only,IDX,Rural population (% of total population),SP.RUR.TOTL.ZS,2000,73.94251884,,
IDA only,IDX,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2000,26.05748116,,
IDA only,IDX,Urban population growth (annual %),SP.URB.GROW,2000,3.71775629,,
IDA total,IDA,Population density (people per sq. km of land area),EN.POP.DNST,2000,50.04627936,,
IDA total,IDA,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,2000,11.97480414,,
IDA total,IDA,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,2000,63.9849199,,
IDA total,IDA,Rural population (% of total population),SP.RUR.TOTL.ZS,2000,70.10045066,,
IDA total,IDA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2000,29.89954934,,
IDA total,IDA,Urban population growth (annual %),SP.URB.GROW,2000,3.787504436,,
Late-demographic dividend,LTE,Population density (people per sq. km of land area),EN.POP.DNST,2000,46.00989798,,
Late-demographic dividend,LTE,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,2000,19.37087934,,
Late-demographic dividend,LTE,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,2000,,,
Late-demographic dividend,LTE,Rural population (% of total population),SP.RUR.TOTL.ZS,2000,54.06989696,,
Late-demographic dividend,LTE,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2000,45.93010304,,
Late-demographic dividend,LTE,Urban population growth (annual %),SP.URB.GROW,2000,3.370815574,,
Latin America & Caribbean,LCN,Population density (people per sq. km of land area),EN.POP.DNST,2000,25.95298024,,
Latin America & Caribbean,LCN,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,2000,35.6396999,,
Latin America & Caribbean,LCN,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,2000,31.89631227,,
Latin America & Caribbean,LCN,Rural population (% of total population),SP.RUR.TOTL.ZS,2000,24.43470612,,
